wallet_address,sent_count,total_sent_eth,failed_sent,max_sent
0x3a4d3430da786fa5b912ff8d468998ab95c3a6f2,1171,1666.0000000794478,148,4.0
0xd62ca385c107390062a5f1f404c78ba208717ce4,381,120.67077156578698,1,1.49505936606684
0x84b5241e96b15f5381112cb4dd7082b390df1e25,17,96.05,0,27.3
0x6cdbc956e4291dd1bc91aba3335556360568742c,7,66.41048093038484,1,40.75757798424141
0xe5254e61b579d02ec9a573593a9833a238f2a97e,17,60.39531737210116,6,18.45558400208762
0x39ed5afc1de70a5999d54208e8c3438b268912d1,32,50.165,0,3.0
0xc4587b4f35fb9340ea764933220804b3f292ab1c,54,48.81244250893978,1,3.9453156673574177
0x50cb452561ae7431e822df66d989388e51ea7a00,59,31.87,0,2.33
0x5aeba558bd5af49f1fbcbc69e31a2689573f0cb9,1,26.0,0,26.0
0x2d3fb3096f020029a49a45c88253a4cd0bc2503f,36,25.89029213988091,3,3.000000000000002
0x96d7e097cfeaddab92dc245e40a602da98121d08,28,23.9,0,6.0
0x8f7199db75bf36a4f3666559746f820efd8c7a16,8,22.16353425865281,0,5.914446194814599
0x1be1026e82a2b2c8133f78f8b84a91d22ae791f9,18,21.1,0,6.0
0xfd703787f521d6932d7d5888e4f81fe2515ae855,45,20.2,0,2.0
0x90370a2ebb2b7efbc68ba9a4f84767f84d9b67b5,1,19.5,0,19.5
0x288c0b8579bab70ab2fa2b2c8672ac360a2c5a81,31,19.26,0,2.2
0x8bd30bedd8d81c79c1bd5ca652af239493264623,18,18.349,0,3.83
0x88fc568a63d5968455e918253abcd9cc32911609,1,18.24,0,18.24
0x96cfb27c106c360692086a7ba82ed71391a10b66,1,18.0,0,18.0
0xd4a2aee94345bfa6aa1bdd3b95e8dc9d14b2ea19,32,17.806649415552165,17,1.7967110130767479
0x45926c5876ece552f889fa5298331a241effd8f6,23,17.37,0,4.5
0x52ce96ef87f6606b278d1a70820673c823730e51,5,16.410781247111537,0,8.3
0x85b5302fa77685c09e59efed6eb2f9ab4c652980,1,16.30673134221179,0,16.30673134221179
0xfad9fe0f5a680bd2a1395b209f006d0902c6c544,12,15.73,1,2.0
0xb87d237e6d7f1e62f8391d646a0b318bce075f13,1,15.0,0,15.0
