label,from_address,sent_tx_count,total_tokens_sent,token_symbol
,0x5777d92f208679db4b9778590fa3cab3ac9e2168,9,54897.75464993243,DAI
,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,1,54374.158172,USDC
,0x4e0924d3a751be199c426d52fb1f2337fa96f736,5,47469.689735,USDC
,0xc72abb13b6bdfa64770cb5b1f57bebd36a91a29e,1,28210.685317,USDC
,0x290a6a7460b308ee3f19023d2d00de604bcf5b42,2,26913.71307309876,MATIC
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,2,26913.71307309876,MATIC
,0x89e4d042c27210c2cdfc472d3ea4a88d30e4c245,4,24630.400806,USDC
,0xfe0df74636bc25c7f2400f22fe7dae32d39443d2,1,20813.545092,USDC
Wallet 2,0x2381723118870257c5ea6183281724930247afea,2,19726.06606,USDC
,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,13,19638.174763896008,DAI
,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,3,18489.610657,USDT
Wallet 2,0x2381723118870257c5ea6183281724930247afea,4,18451.410352481776,DAI
,0xefe3b6bfce963dc9754d862492f2bbf6f8e8e12c,4,13330.364343,USDC
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,4644,13213.497574557507,WETH
,0x5aa1356999821b533ec5d9f79c23b8cb7c295c61,3,12460.243627,USDC
,0x4109ab7966c5461439bdb0beda92c92fec767966,2,11892.848455,USDT
,0x5db3d38bd40c862ba1fdb2286c32a62ab954d36d,3,11821.534762,USDC
,0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d,2,10983.227435975386,DAI
Wallet 2,0x2381723118870257c5ea6183281724930247afea,1,10114.496515,USDT
,0xa7b3bcc6c88da2856867d29f11c67c3a85634882,1,9966.431283,USDC
,0x1d2e8efae9fab4731028d4a90f0cca27e1a57c9f,1,9932.591763,USDC
,0x1111111254eeb25477b68fb85ed929f73a960582,1,9776.448105,USDC
,0xd51a44d3fae010294c616388b506acda1bfaae46,1,8687.318547,USDT
,0x09aa63b7a22eefc372196aacd5b53441ed390bfb,5,7721.375258,USDT
,0x89b35c5522779219a12ecf215b2c074d92519ad0,1,7062.880073629925,PEAS
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,1,7062.880073629925,PEAS
,0x9febc984504356225405e26833608b17719c82ae,1,6717.516414,USDC
,0x08f68110f1e0ca67c80a24b4bd206675610f445d,3,6522.046131,USDC
,0xfcedca7ad9ea9e9cbf580eabb479a000ac45b291,2,6126.412168,USDC
,0x54578b6f942aeb23b67a8cef24220651306b8e26,1,5960.75363,USDT
,0x77ac18058e0f86e7e762202bf9a414e7d77f5bb5,4,5500.345207,USDC
,0x73ea3d8ba3d7380201b270ec504b33ed5e478542,1,4977.869534,USDC
,0x97e7d56a0408570ba1a7852de36350f7713906ec,1,4689.099431637047,DAI
,0x89eeba49e12d06a26a25f83719914f173256ce72,3,4461.773089,USDT
,0x15e7f2cd6f5c19c9a362c9320e231450d0e4a129,2,4199.629865,USDC
,0xc733434bf8db449ca95087f1ba5d4b887e3b6651,1,3830.29154,USDT
,0x8592064903ef23d34e4d5aaaed40abf6d96af186,2,3813.172362,USDC
,0xc20c4947b52ff053da3245bb1d90c25eecee424b,2,3700.5067342082875,DAI
,0x69ef438a28e6d123f809c9be785c79745ab5a0b8,2,3530.910871,USDT
,0xa80964c5bbd1a0e95777094420555fead1a26c1e,2,3521.448109419646,DAI
,0x383e7acd889bf57b0d79a584009cb570534ab518,1,3453.341396,USDT
,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,3,3415.057291,USDT
,0xfad57d2039c21811c8f2b5d5b65308aa99d31559,3,3327.978019,USDC
,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,6,3237.816211,USDC
,0xfeb6a9de89465da662ff16f85b5342b73bd0b455,2,3092.018523,USDT
,0x16980c16811bde2b3358c1ce4341541a4c772ec9,1,3002.9640684670917,DAI
,0x11b815efb8f581194ae79006d24e0d814b7697f6,241,2817.414811941448,WETH
,0xe7871750223ab1a1a05c61fe6beb0c688788aef1,2,2752.68023,USDC
,0x7498e0c6733fbb5368e8771f9791b9ff60c4490e,1,2739.86853,USDT
,0x020c349a0541d76c16f501abc6b2e9c98adae892,1,2718.246306,USDC
,0x07f3d316630719f4fc69c152f397c150f0831071,1,2673.239946,EURT
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,1,2673.239946,EURT
,0xc66e3c356be06b344508392fefb9bc658825035d,4,2472.414694,USDT
,0xa7600c4fbddb57e44018bee74a5f6b636cb68352,2,2462.436288,USDC
,0x1e84865e17b49286f26d356dc39ff671edfaa199,8,2431.383861,USDT
,0x47e466a1640f9c0a36dffc6830954db4c4a414e1,1,2335.759226,USDC
,0x13394005c1012e708fce1eb974f1130fdc73a5ce,3,2313.40609,USDC
,0x5e35c4eba72470ee1177dcb14dddf4d9e6d915f4,5,2177.850207,USDC
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,5,2115.440444449115,BUSD
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,3,2110.363297098524,ICHI
,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,171,1979.842615943759,WETH
,0x593da5fd90d0df803e1472e940a26dfa1bd9e17f,1,1867.360534,USDT
,0xd0fc8ba7e267f2bc56044a7715a489d851dc6d78,2,1814.828733,USDC
,0x4f845c5ccf059002894d4e05cad5735ceceed68b,1,1768.5347607091833,ICHI
,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,47,1660.7691968153458,WETH
,0x1517ba8f1a1b192ac62f824d6e10f88ae99391b3,1,1476.819992,USDC
,0x5df5ad8548540bdbca26eb033898bb59d70a4cd4,1,1409.287521,USDC
,0x9fee77d8b5050a55c16d0446e6eab06a6a24cd06,2,1294.996769,USDC
,0x7270233ccae676e776a659affc35219e6fcfbb10,2,1200.248799,USDC
,0xaa373fedab5bde45b2c0f10fe954dd4c96cad899,2,1173.956154,USDT
,0x9cf3653162d74fb0f518f86ade96c65074814dcf,1,1107.088857,USDC
,0x5e35c4eba72470ee1177dcb14dddf4d9e6d915f4,1,1093.4083697874767,BUSD
,0x0170915a0a6de6eb8dfc4e0f7415ad5a5a2be180,1,935.002686,USDC
,0xc30c8b862f7de6ba5d7eaeb113c78ec6b5ded04b,1,919.885964,USDT
,0x5d1461990f636d35030cb603559d6a9d4487f9ca,2,915.771615,USDT
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,2,810.3532645146904,LINK
,0x01037d4d2fbabcd3fb97b8fb97f00f00161b5fc3,2,810.3532645146904,LINK
,0xf743ace0dd18b26ef95988486315dd7a39b07035,1,760.993886,USDT
,0xd5ad5ec825cac700d7deafe3102dc2b6da6d195d,2,756.8388433523094,BUSD
,0x73db82e81b7a11490278687551d3b632119b0e1f,1,702.308801,USDC
,0xb0f4a77bde7fee134265307c5cc19abff0ba409b,1,587.402031,USDT
,0x84d9b06b335c5270a76ddc4bf4674d238a5b5f8a,2,564.246775,USDT
,0x3dd72ae9710cd00d48a298ff4ac160ac5acb959b,1,550.695976,USDT
,0x349ee001d80f896f24571616932f54cbd66b18c9,3,504.447351,USDT
,0xdfdd6dcc53ae970d3a1a19c43197084cdca97dff,1,503.93711756961363,DAI
,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,1,499.74446,USDT
,0xae790e2a4785298cb18150f3dc4a60bd81fcd274,172,497.202269384208,WETH
,0xb77a5a8355114269fa45056b7408dbcd1cdfd0a9,2,482.812902,USDT
,0x0920323f3f6162267f7709bd0a150e797b021ec5,1,482.593409,USDC
,0x93f267fd92b432bebf4da4e13b8615bb8eb2095c,2,452.190038,USDC
,0xa033d7f47d9099a2f390c115dfe470b8e49cc472,1,444.10106,USDT
,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,2,409.343733,USDC
,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,357,394.3306319792243,WETH
,0x887a4aa963bc7af6f78b5eede213131b63999be1,1,341.904991,USDC
,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,2,322.7545284086223,WETH
,0xf4c5e0f4590b6679b3030d29a84857f226087fef,83,318.65153287112884,WETH
,0x8c5220cd975daeaf7733e1cac88804c95e1c9803,1,314.7712246265568,ICHI
,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,20,313.5793650659978,WETH
,0xe1d4569e41670eb9448f4c47c77796fc807b6948,1,294.907289,USDT
,0xe8e2c14fcfc0a8de8e707a8e2bb6e7ccdd3c314a,1,287.054683,USDT
,0x2322e5517a3cbc75a3f02d74c96f82dda120d841,2,250.094069,USDC
,0x6c6bc977e13df9b0de53b251522280bb72383700,3,243.895363,USDC
,0x07a6e955ba4345bae83ac2a6faa771fddd8a2011,2,242.490305,USDC
,0x6bfc42d89a983df0c8beb3454202d29e7b840c96,1,240.573442,USDC
,0x68f73e2180024db5b54e0e119d4f5128953f9417,2,227.745836,USDT
,0x4ff7e1e713e30b0d1fb9cd00477cef399ff9d493,1,218.30123080921717,BUSD
,0x9263a956c4186d0527c317cedbea6f8925297db0,1,212.82579910346865,VITA
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,1,212.82579910346865,VITA
,0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,23,202.64373888415867,WETH
,0x9db9e0e53058c89e5b94e29621a205198648425b,1,199.573203,USDT
Wallet 1,0xe592427a0aece92de3edee1f18e0157c05861564,8,168.48475491741203,UNI
,0x844eb5c280f38c7462316aad3f338ef9bda62668,29,162.86141628404113,WETH
,0xc931d9fefd06a8361d8057501f1ec522cf69c573,1,161.747759,USDC
,0xb02045ad2ca16e8f4675088140e369260bb280c8,82,160.39786857659954,WETH
,0xb07fe2f407f971125d4eb1977f8acee8846c7324,1,151.599715,USDC
,0x433a00819c771b33fa7223a5b3499b24fbcd1bbc,40,149.54120920623495,WETH
,0x0b41738bfe37d13fed264bf22e2ca7ba7d2cd734,1,136.475176,USDC
,0x4a2987c255ad7f9409c54a4fce7823441e14f08b,50,128.3820498797163,WETH
,0x86b7a8bf03167ee42b983b383c9d0182fcc07841,1,122.172189,USDC
,0xa15cc73e881c06d8db06b50b7a3688b763c18350,1,112.86224,USDC
,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,1,110.794401,USDC
,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,1,110.632123,USDC
,0xfac9c0dc87ca85e24f964f91b51d99f746fd02ce,1,110.365888,USDC
,0x38b6e47a97f4680a983eadc8e510c37d73967c29,1,98.488951,USDT
,0xd34a75de5b04d7a91619c23ff6d544b9d5abdf07,1,90.651605,USDC
,0xe21876afd4c632b22870df250e5df1754c1875e8,40,88.91934992812453,WETH
,0xfe47dad3d8072a7c5e38202bc4b82d322163e2b6,4,88.83596968235315,UNI
,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,33,84.65073739465291,WETH
,0x16588709ca8f7b84829b43cc1c5cb7e84a321b16,42,84.28563654174363,WETH
,0x3470447f3cecffac709d3e783a307790b0208d60,4,79.6487852350589,UNI
,0x07510b2dd84bf8187063a3c49533663518c2b6b7,1,78.37329165590025,DAI
,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,14,76.94198205660213,WETH
,0x1760e91849b6140c31cc43bb2891ffb5532c2c38,1,75.990842,USDC
,0xc45a81bc23a64ea556ab4cdf08a86b61cdceea8b,19,72.11961112595813,WETH
