tx_hash,from_address,to_address,value_eth,trace_id,call_type,timestamp
0x000bcdd71740c129dfb64a2c65f181dea8ca3ed85265ca17e621dbd21af48b5f,0xe592427a0aece92de3edee1f18e0157c05861564,0xd63a283f99c9d00323724a5f7db07515461a6760,0.6371661418514514,0_1_1_1_1,call,2024-01-02 20:55:11
0x000bcdd71740c129dfb64a2c65f181dea8ca3ed85265ca17e621dbd21af48b5f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe592427a0aece92de3edee1f18e0157c05861564,0.6371661418514514,0_1_1_1_1_1,call,2024-01-02 20:55:11
0x00105333ef6283b8810f36c7f5660261b9a0ec3019a89ea84dbe6e0bf8e03d10,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xe592427a0aece92de3edee1f18e0157c05861564,1.5,0_1_1,call,2024-01-06 06:28:47
0x00105333ef6283b8810f36c7f5660261b9a0ec3019a89ea84dbe6e0bf8e03d10,0xe592427a0aece92de3edee1f18e0157c05861564,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.5,0_1_1_1_1_1,call,2024-01-06 06:28:47
0x001c2c1eb1ccb195173d43010e00c32615c8cd8919ab5328cd67521ef7c0ab4d,0xe592427a0aece92de3edee1f18e0157c05861564,0x3a4d3430da786fa5b912ff8d468998ab95c3a6f2,1.9569347296258701,0_1_1,call,2024-01-03 11:27:47
0x001c2c1eb1ccb195173d43010e00c32615c8cd8919ab5328cd67521ef7c0ab4d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe592427a0aece92de3edee1f18e0157c05861564,1.9569347296258701,0_1_1_1,call,2024-01-03 11:27:47
0x002048f6a2ce13f9525d9f906ee66a99036e1281f18de4e0ff80a2afd34da99f,0x49ad262c49c7aa708cc2df262ed53b64a17dd5ee,0xe592427a0aece92de3edee1f18e0157c05861564,0.869326805150756,0_1_1,call,2024-01-06 05:32:35
0x002048f6a2ce13f9525d9f906ee66a99036e1281f18de4e0ff80a2afd34da99f,0xe592427a0aece92de3edee1f18e0157c05861564,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.8644207662431995,0_1_1_1_1_1_1_1,call,2024-01-06 05:32:35
0x002e655463fd186d45ca0e7f0a305eea6673467f289ec4081e67e4d1c48b36b3,0x3999d2c5207c06bbc5cf8a6bea52966cabb76d41,0xe592427a0aece92de3edee1f18e0157c05861564,0.28768,0_1,call,2024-01-02 06:39:11
0x002e655463fd186d45ca0e7f0a305eea6673467f289ec4081e67e4d1c48b36b3,0xe592427a0aece92de3edee1f18e0157c05861564,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.28768,0_1_1_1_1,call,2024-01-02 06:39:11
0x0031789ab6043eef04d5fcfcfaeab5aa5551d3536b75c3e87dbbcf098c5f8f9e,0xe592427a0aece92de3edee1f18e0157c05861564,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.5,0_1_1_1,call,2024-01-03 16:07:47
0x004167ae453c7c18f6365a1e141a0e98c61a6e1754cbf9d6d0bcf26b370d2722,0x471d69f435df6464f3c3e655093040d81926927c,0xe592427a0aece92de3edee1f18e0157c05861564,0.02125550977609541,0_1_1,call,2024-01-02 07:23:23
0x004167ae453c7c18f6365a1e141a0e98c61a6e1754cbf9d6d0bcf26b370d2722,0xe592427a0aece92de3edee1f18e0157c05861564,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.02125550977609541,0_1_1_1_1_1,call,2024-01-02 07:23:23
0x00560effc99e8ac7df5b998079281f8f5cd12f04977496f7ec46bb409f034399,0x471d69f435df6464f3c3e655093040d81926927c,0xe592427a0aece92de3edee1f18e0157c05861564,0.40877,0_1_1,call,2024-01-02 00:52:59
